Asset,Start,End,Duration,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN
GS,2013-11-18,2021-11-02,7Y 11M 3W,1.8796418345737709,1.0694859878262206,1.4344669398768914,50,1.0,0.03696050011870411,0.012805141954013166,0.021389719756524414,0.021389719756524414,0.0,0.004811466501149526,0.09605542854495108,0.0763796628213583,0.0,0.0,106.94859878262206,50.0,0.8648300621520914,31.434939605013884
VZ,2014-06-02,2018-11-19,4Y 5M 3W,0.3347216653848095,0.29529121555360316,0.1981181450670595,7,1.0,0.06637520216303638,0.022852567274998847,0.042184459364800454,0.042184459364800454,0.0,0.013612833985021555,0.04561949526451681,0.21609704017905237,0.0,0.0,29.529121555360316,7.0,0.07228000555479566,8.198850349146825
CHTR,2016-04-26,2021-05-07,5Y 1W 5D,2.7554485770462427,1.6060493969076242,1.9626784903571362,4,1.0,0.5983465685779312,0.18577293847840493,0.40151234922690604,0.40151234922690604,0.0,0.18632709119069182,0.1990359783849318,2.957850874827747,0.0,0.0,160.60493969076242,4.0,0.05714824226720888,4.309758142641622
DNOW,2016-06-07,2018-08-02,2Y 1M 3W 5D,0.8431324683341044,0.6299415302963778,-0.6739726921025082,12,1.0,0.09181973484987194,0.026859505036915254,0.05249512752469815,0.05249512752469815,0.0,0.022480541327387697,0.21657886614806987,0.3568675301422663,0.0,0.0,62.99415302963778,12.0,0.522823878299294,8.089149340172964
FWONK,2019-11-13,2023-06-15,3Y 7M 5D,0.9292741489140768,0.7791931478096009,1.5424935005332214,2,1.0,0.43088203495203836,0.34831111285756255,0.38959657390480046,0.38959657390480046,0.0,0.05838645894182996,0.13475004667702595,0.9268563017625931,0.0,0.0,77.9193147809601,2.0,0.11301649077405403,9.436653098267035
ESRX,2014-08-11,2018-11-28,4Y 3M 2W 6D,0.3885935364347781,0.33091249531770583,,23,1.0,0.02760698786855942,0.007636780635963958,0.014387499796421992,0.014387499796421992,0.0,0.004967913000702465,0.05410693858633997,0.07886317400918023,0.0,0.0,33.091249531770586,23.0,0.3056805522883691,13.889137159925967
QSR,2019-08-07,2019-08-07,,0.9618952954042699,0.9618952954042699,1.3198719687759795,1,1.0,0.9618952954042699,0.9618952954042699,0.9618952954042699,0.9618952954042699,0.0,0.0,5.679473665752039e+73,0.0,0.0,0.0,96.18952954042699,1.0,5.679473665752039e+75,96.18952954042699
AXTA,2016-03-21,2021-05-10,5Y 1M 3W,0.5380539258429555,0.4433562627387355,-0.09289344662255672,9,1.0,0.1131667633182103,0.030052116648082494,0.049261806970970615,0.049261806970970615,0.0,0.025332338256489735,0.05953567223254819,0.40213840292663644,0.0,0.0,44.33562627387355,9.0,0.07344653486858475,5.833864186423913
T,2015-07-23,2023-12-05,8Y 4M 2W 3D,0.1848267959504073,0.18884017314285384,0.1582668147123567,42,0.6904761904761905,0.06538864630745733,-0.05484818224165022,0.004496194598639377,0.023355370523300004,-0.037574274771757406,0.030229744444058154,0.014078669196746052,0.4798823159760863,-1.436845408347803,-0.4575984508864359,1.386598736850497,2.230769230769231,-0.03317757348667823,0.9639072992259845
KMI,2016-07-11,2016-10-03,2M 3W 3D,0.2762640056327208,0.24922501468942998,0.06724978342927468,6,1.0,0.0529468952557631,0.0242369813828911,0.04153750244823833,0.04153750244823833,0.0,0.010412855397926017,1.0788423857312561,0.16529895492593255,0.0,0.0,24.922501468942997,6.0,6.345124118910633,9.77116096398075
